Nome;Serviços;Telefone;Fax;Email;Website;Aguas, esgotos e drenagem;Ambiente;Arquitetura e Paisagismo;Caracterização e diagnóstico;Electricidade e Comunicações;Estabilidade e obras de arte;Gestão de Projeto;Mecânica;Pavimentos;Segurança contra riscos de incêndio;Sinalização e Equipamento de segurança;Forn ANA;Data de constituição; Capital Social ; Volume de Negócios (€) ;Ano Volume Negócios;Pessoal Permamente Total;CAR;FIS;ARQ;EST;AAD;IEL;MBT;STB;ACV;GAS;AED;SCI;ACU;TER;SEG;SAC;SIN;AMB;GEO;GET;MVT;AEX;TRA;PAV;SHV;SLU;HID;SIV;FAS;SAF;OAT;SIG;TOP;CER;INF;VED;PTL;MPC;TRD;PMO
ATSE (inst tecnicas);;;;antonio.trindade@atse.pt;;0;0;0;0;1;0;0;0;0;1;0;✓;01/01/1997;;;;;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ATELIER DO CHIADO;Arquitetura (projetos de edificações culturais, comerciais e residenciais) – ARQ;213 473 775;;geral@atelierchiado.pt;www.atelierchiado.pt;0;0;1;0;0;0;0;0;0;0;0;;21/03/1990; 100 000 € ; 250 000 € ;2022;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ATELIERMOB;Arquitetura e urbanismo (habitação social, reabilitação urbana, design social) – ARQ;218 863 869;;info@ateliermob.com;www.ateliermob.com;0;0;1;0;0;0;0;0;0;0;0;;14/10/2005; 5 000 € ; 88 000 € ;2022;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ATLANTIC ENG.;;965 317 909;;p.silva.atlantic@gmail.com;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BETAR;Engenharia civil estrutural e infraestruturas: projetos de estabilidade (EST), pontes/viadutos (OAT), vias de comunicação rodoviárias e ferroviárias (TRA, PAV, SIV), gestão de ativos de infraestruturas;217 826 110;;consultores@betar.pt;www.betar.pt;0;0;1;0;0;1;0;0;1;0;1;;26/01/1988; 2 100 000 € ; 4 168 637 € ;2023;46;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
BMLC;;967 238 413;;luis.cardoso@bmlc.pt;www.bmlc.com.pt;0;0;1;0;1;0;1;1;0;0;0;✓;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0
BROWNFIELD;;215 957 070;;geral@brownfield.pt ;www.brownfieldengineering.pt;0;1;0;0;0;0;0;0;0;0;0;✓;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BUILDGEST;Gestão de projetos e fiscalização de obras (coordenação, inspeção técnica) – não executa projetos de engenharia;226 073 720;;bg@buildgest.com;www.buildgest.com;0;0;0;0;0;0;1;0;0;0;0;;29/04/2008; 6 000 € ; 1 209 128 € ;2023;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C.G.F.;Gestão e fiscalização de empreitadas de construção civil (planeamento, coordenação de segurança, controle de qualidade) – serviços de gestão, sem projetos próprios;224 647 164;224 649 171;geral@cgf.pt;www.cgf.pt;0;0;0;0;0;0;1;0;0;0;0;;21/10/1996; 200 000 € ; 1 708 688 € ;2024;29;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CASAIS;;218 959 014;;lisboa@casais.pt;casais.pt;0;0;0;1;0;1;1;0;0;0;0;✓;;;;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
CASP;Projetos de engenharia e arquitetura (edifícios) e gestão de projetos – empresa multidisciplinar de pequena dimensão (ARQ, EST, ACV, etc. conforme necessidade);220 730 621;;geral@casp.pt;www.casp.pt;0;0;1;0;0;1;0;1;0;0;0;;23/10/2013; 10 000 € ; 360 000 € ;2018;9;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CEMOSA;;961 488 118;;;;1;0;1;0;0;0;0;0;1;0;0;✓;;;;;;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CME;;214 233 100;;ramais@cme.pt;cme.pt;0;0;0;0;1;0;0;0;0;0;0;✓;;;;;;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CESO;Consultoria de desenvolvimento internacional (economia, estudos sociais e ambientais) – não realiza projetos de engenharia tradicionais;217 999 600;217 958 997;ceso@ceso.pt;www.ceso.pt;0;1;0;0;0;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CIVILSER ;Engenharia civil geral: projetos de edifícios e infraestruturas (estruturas, redes prediais de água/esgoto, arruamentos) – EST, AAD, AED;217 819 703;;geral@civilser.pt;www.civilser.pt;1;0;0;0;0;1;0;0;0;0;0;;21/04/1999; 50 000 € ; 324 700 € ;2011;9;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLENCI;Patologia e reabilitação de construções: inspeções, diagnósticos e projetos de reforço estrutural (EST) e reabilitação de edifícios;213 553 260;;geral@clenci.pt;www.clenci.pt;0;0;0;0;0;1;0;0;0;0;0;;10/09/1999; 5 000 € ; 646 007 € ;2008;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COBA;Grandes projetos de infraestruturas: barragens e obras hidráulicas (OAT, AAD/AED), estradas e ferrovias (TRA, PAV, SIV), pontes (OAT), estudos ambientais (AMB), geotecnia (GET) e planejamento territorial;217 925 000;217 970 348;coba-pt@cobagroup.com;www.cobagroup.com;0;1;1;0;0;1;0;0;1;0;1;✓;28/06/1962; 5 000 000 € ; 24 758 345 € ;2024;319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
CONSULGAL;Engenharia integrada e gestão: projetos de infraestruturas de transportes (rodovias, ferrovias – TRA, PAV), hidráulica (AAD/AED), edificações (EST, ACV, IEL), além de gestão/fiscalização de obras;214 468 500;214 411 607;geral@consulgal.pt;www.consulgal.pt;1;0;1;0;1;1;1;1;1;0;0;;18/08/1983; 800 000 € ; 5 000 000 € ;2024;260;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONSULMAR;Engenharia costeira e portuária: projetos de portos e obras marítimas (molhes, cais), dragagens, aproveitamentos hidráulicos (AAD/AED), estruturas costeiras (OAT), estudos ambientais (AMB);213 826 630;213 862 679;geral@consulmar.pt;www.consulmar.pt;1;0;0;0;0;1;0;0;0;0;0;;;;;;;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
CONSULPAV;;;;consulpav@consulpav.com;www.consulpav.com;0;0;0;0;0;0;0;0;1;0;0;✓;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Consulstrada;;212 066 400;;consulstrada@consulstrada.pt;www.consulstrada.pt;0;0;0;0;0;0;0;0;1;0;0;✓;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Construções Gabriel AS Couto;; 252 308 640;252 375 871;cgasc@gabrielcouto.pt;www.gabrielcouto.pt;0;1;0;1;0;1;0;0;0;0;0;✓;;;;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COTEFIS;Gestão de investimentos e projetos de engenharia (planejamento, concursos, controle de obra) – não desenvolve projetos técnicos próprios;226 183 790;;sede@cotefis.com;www.cotefis.com;0;0;0;1;0;0;0;0;0;0;0;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CPU Architects International;Arquitetura (projetos arquitetônicos, planejamento urbano) – ARQ (com coordenação de especialidades de engenharia via parceiros);213 939 000;213 939 001;cpuplan@cpu.pt;www.cpu.pt;0;0;1;0;0;0;0;0;0;0;0;;;;;;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRITICAL PATH MANAGERS;Gestão de projetos e obras (planeamento “critical path”, monitorização de prazos/custos) – serviço de gerenciamento sem projeto técnico próprio;914 664 618;;criticalmanagers@gmail.com;www.cpmcritical.pt;0;0;0;1;0;0;0;0;0;0;0;;27/01/2015; 5 000 € ; 2 146 000 € ;;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRYSTALSCORPION;Consultoria técnica em engenharia civil e gestão de obras (serviços especializados sob demanda) – provavelmente não executa projetos completos;916 610 839;;crystalscorpion1@gmail.com;;0;0;0;1;0;0;0;0;0;0;0;;29/06/2020; 1 000 € ; 70 000 € ;;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DDN;Gestão integrada de construção (gerenciamento de empreendimentos imobiliários, fiscalização de obras, coordenação BIM) – sem elaboração de projetos de engenharia;21 757 67 11;217 576 714;geral@ddn.pt;www.ddn-eng.com;0;0;0;1;0;0;1;0;0;0;0;;26/11/1994; 400 000 € ; 11 028 701 € ;;131;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DELICATEPLAN;Consultoria de engenharia civil (projetos de estruturas e geotecnia de pequeno porte) e gestão de projetos – EST, GET (escala reduzida);255 822 263;255 829 041;geral@dplan.pt;www.dplan.pt;0;0;0;0;0;1;0;0;1;0;0;;17/07/2008; 50 000 € ; 247 710 € ;(2023;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DESENTOP Ambiente;;96 317 64 94;;contacto@desentopambiente.com;desentopambiente.com;1;1;0;0;0;0;0;0;0;0;0;✓;;;;;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DIACLASE;Geologia, geotecnia e ambiente: estudos geológicos, estabilidade de taludes e recursos hídricos subterrâneos (GEO, GET), avaliações de impacte ambiental (AMB);217 572 217;217 572 217;geral@diaclase.pt;www.diaclase.pt;0;1;0;0;0;0;0;0;1;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DILIGENTPROJECTS;Gestão de projetos (PMO), auditorias de andamento de obras, consultoria em contratação – não executa projetos técnicos;220 434 870;;geral@diligentprojects.pt;www.diligentprojects.pt;0;0;0;1;0;0;0;0;0;0;0;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DTWAY;"Consultoria em BIM e digitalização de edifícios (levantamentos 3D, documentação digital) – não executa projeto tradicional; foca em tecnologia";964 288 715;;info@dtway.com;www.dtway.com;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EACE;;;;;;0;0;0;1;0;0;0;0;0;0;0;✓;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EDGAR CARDOSO ;Estruturas especiais: projetos e testes laboratoriais de pontes, viadutos e grandes estruturas (EST, OAT) – referência em engenharia de pontes;213 527 682;210 192 712;info@edgarcardoso.pt;www.edgarcardoso.pt;0;0;0;0;0;1;0;0;0;0;0;;16/06/1992; 99 759 € ; 2 432 881 € ;;21;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
EDIFICIOS SAUDAVEIS;;;;mail@edificiossaudaveis.pt;www.edificiossaudaveis.pt;0;1;0;0;0;0;0;0;0;0;0;✓;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EDP;Engenharia de produção de energia: estudos e projetos associados a centrais elétricas (barragens, centrais térmicas e renováveis), gestão de ativos de geração;210 012 100;210 012 320;edpproducao@edp.pt;www.edp.pt;0;0;0;0;1;0;0;0;0;0;0;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EFEITO ESPIRAL;Engenharia civil geral (projetos e consultoria conforme demanda, incl. estruturas e pequenos edifícios) – atuação flexível em várias especialidades;912 459 591;;geral@e-spiral.com;www.spiral.com;0;1;0;0;0;1;0;0;0;0;0;;10/09/2014; 1 000 € ; 150 000 € ;(2021;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EGIAMB;Geoambiente: estudos geotécnicos (sondagens, fundações – GET) e ambientais (remediação, licenciamento – AMB);211 361 625;;geral@egiamb.pt;www.egiamb.pt;0;1;0;0;0;0;0;0;1;0;0;✓;18/11/1998; 40 000 € ; 2 076 000 € ;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ELECTROCONSUL;Engenharia eletromecânica: projetos de instalações elétricas (IEL), telecomunicações e baixa tensão (MBT), climatização e ventilação (ACV), sistemas de gás (GAS), segurança contra incêndio (SCI) em edifícios;213 861 948;;electroconsulsa@gmail.com;;0;0;0;0;1;0;0;1;0;1;0;;31/12/1971; 50 000 € ; 76 000 € ;;;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ELEMENTO FINITO;Estruturas e cálculo estrutural avançado: análise numérica de estruturas (método dos elementos finitos), projetos de engenharia civil estrutural (EST);916 473 611;;info@elementofinito.com;www.linkedin.com/company/ele;0;0;0;0;0;1;0;0;0;0;0;;29/12/2005; 5 000 € ;;;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENGEXPOR;;217 270 730;;portugal@engexpor.com;https://engexpor.com/;0;1;0;1;0;1;1;0;0;0;0;✓;;;;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
